Total Unsigned Flux (Mx),GWILL (Mm),Average Gradient across PIL (G),Effective Separation (pixels),PIL Length (Mm),Label
1.47e+22,1916.43,16.0175,115.898,119.646,0
1.49e+22,779.957,14.9738,120.3,52.0881,0
1.48e+22,472.709,18.2838,120.772,25.854,0
1.5e+22,502.2,19.0365,128.569,26.3809,0
1.52e+22,460.668,25.5952,130.537,17.9982,0
1.54e+22,779.8530000000002,12.9622,134.179,60.1636,0
1.57e+22,1643.85,19.8304,123.451,82.8953,0
1.6e+22,1152.84,23.8958,122.764,48.2443,0
1.63e+22,764.653,17.875,118.068,42.7778,0
1.63e+22,851.4730000000002,34.7262,116.887,24.5196,0
1.67e+22,1051.41,41.7722,117.97,25.1702,0
1.7e+22,1428.77,36.2674,114.967,39.3953,0
1.75e+22,1683.08,41.4086,110.252,40.6456,0
1.74e+22,1443.6,44.61600000000001,107.257,32.3561,0
1.77e+22,1112.16,32.4484,106.185,34.2746,0
1.77e+22,1146.8,37.8492,106.848,30.2993,0
1.81e+22,1045.81,34.9664,100.888,29.909,0
1.83e+22,1652.76,17.4521,94.5845,94.7024,0
1.87e+22,962.443,22.9229,94.0278,41.9861,0
1.86e+22,896.4730000000002,22.693,92.9337,39.5044,0
1.85e+22,1378.17,15.607000000000001,97.3197,88.3045,0
1.87e+22,748.084,21.756999999999998,98.3064,34.3836,0
1.89e+22,1133.92,13.0606,94.7305,86.8202,0
1.89e+22,1434.5,16.5828,92.6677,86.5054,0
1.9e+22,1952.74,18.4162,88.6631,106.034,0
1.88e+22,1844.64,15.907,92.4421,115.964,0
1.9e+22,2472.34,19.7391,93.4202,125.251,0
1.89e+22,2158.06,19.2034,98.164,112.379,0
1.82e+22,2494.54,17.073,102.258,146.11,0
1.8e+22,1666.99,13.1297,106.943,126.963,0
1.8e+22,1622.95,12.3779,102.339,131.11700000000002,0
1.78e+22,2172.09,14.4748,104.253,150.06,0
1.78e+22,2537.47,15.2685,102.856,166.19,0
1.8e+22,2010.79,18.2413,99.6703,110.233,0
1.86e+22,766.9630000000002,16.1109,95.5204,47.6052,0
1.9e+22,2933.57,19.6466,96.9189,149.317,0
1.93e+22,3126.19,15.7887,96.7434,198.002,0
1.96e+22,1669.95,22.366,90.36,74.6645,0
1.97e+21,763.762,24.333000000000002,96.4848,31.3879,0
2.93e+21,1592.79,28.2486,75.6541,56.3848,0
3.6e+21,2168.41,51.7904,48.0913,41.869,0
4.02e+21,2123.7,42.693000000000005,52.6628,49.7434,0
4.5e+21,2877.33,49.9132,55.8874,57.6467,0
5.24e+21,2945.09,42.3393,52.9931,69.5592,0
6.36e+21,3565.97,42.581,43.5138,83.7456,0
7.1e+21,3295.93,34.6575,38.6988,95.1,0
7.56e+21,4297.52,44.1604,40.4641,97.3161,0
8.38e+21,4774.24,48.6556,40.1868,98.1231,0
9.06e+21,4484.59,45.2405,42.5054,99.1277,0
9.88e+21,4493.06,46.8248,43.4166,95.9547,0
1.06e+22,4651.63,45.1487,38.4997,103.029,0
1.16e+22,5443.93,46.092,35.4189,118.11,0
1.2e+22,5923.01,46.4692,35.6981,127.461,0
1.24e+22,4770.97,41.9142,32.1804,113.827,0
1.24e+22,5068.79,40.849000000000004,29.5466,124.086,0
1.25e+22,4191.91,40.4867,27.2324,103.538,0
1.23e+22,3730.73,39.0094,30.2756,95.6367,0
1.21e+22,3839.58,35.1665,31.5737,109.183,0
1.2e+22,3664.95,49.683,35.966,73.7667,0
1.16e+22,4677.89,31.1714,40.8402,150.07,0
1.15e+22,3502.46,51.2247,39.8083,68.3744,0
1.15e+22,2894.52,85.35799999999999,44.9426,33.9104,0
1.13e+22,2731.92,63.6415,46.2939,42.9267,0
1.14e+22,2849.35,62.0753,46.0319,45.9015,0
1.12e+22,3098.07,75.2629,46.6274,41.1633,0
1.11e+22,3526.71,53.4941,46.1905,65.9271,0
1.09e+22,2938.61,84.5468,48.4717,34.7572,0
1.06e+22,4059.62,53.4322,46.7173,75.977,0
1.03e+22,3354.88,55.0508,46.1797,60.9415,0
9.92e+21,3110.77,68.973,51.4976,45.1012,0
9.62e+21,2013.24,94.8669,53.8499,21.2217,0
9.48e+21,199.819,5.6839699999999995,56.4698,35.1549,0
9.67e+21,2068.1,28.2013,61.3303,73.3336,0
9.37e+21,1777.49,25.2103,68.9124,70.5065,0
9.41e+21,1889.65,26.1416,70.0639,72.2852,0
9.24e+21,572.0169999999998,13.5753,73.4778,42.1366,0
8.98e+21,267.728,6.54858,75.7239,40.8834,0
8.84e+21,223.098,7.849880000000001,73.2858,28.4206,0
8.74e+21,1422.99,24.2801,72.4187,58.6074,0
8.66e+21,1249.54,31.0203,70.4966,40.2815,0
8.64e+21,1368.49,22.2177,72.0912,61.5945,0
8.46e+21,1100.26,26.8381,73.4033,40.9961,0
8.31e+21,1126.72,23.6089,73.2999,47.7244,0
8.13e+21,1052.72,26.3285,75.4671,39.984,0
8.14e+21,564.78,29.1259,75.7672,19.391,0
7.84e+21,203.982,19.0197,80.6845,10.7248,0
7.78e+21,248.083,25.1966,80.0998,9.84591,0
7.71e+21,201.287,12.7836,78.1712,15.7457,0
7.67e+21,216.016,14.5436,79.1673,14.853,0
7.57e+21,120.542,7.57568,73.4803,15.9117,0
7.61e+21,189.491,8.01934,77.4672,23.6292,0
7.59e+21,173.50599999999997,8.30417,76.65899999999998,20.8938,0
7.52e+21,93.9264,4.8026,78.8316,19.5574,0
7.66e+21,556.408,9.10319,83.509,61.1223,0
7.48e+21,534.034,8.11282,89.1435,65.8259,0
7.34e+21,430.961,9.21618,90.6117,46.7613,0
7.37e+21,281.568,6.455430000000001,91.7611,43.6173,0
7.16e+21,276.715,7.195469999999999,92.0548,38.4569,0
6.84e+21,254.835,6.91852,90.4811,36.8338,0
7.12e+21,438.826,7.301489999999999,91.6923,60.1009,0
6.92e+21,484.949,7.84157,87.7018,61.8434,0
6.87e+21,366.887,8.55841,88.4097,42.8686,0
6.52e+21,349.695,9.82359,88.1795,35.5975,0
6.67e+21,705.758,12.437000000000001,95.505,56.7466,0
6.33e+21,516.491,8.16351,98.1277,63.2683,0
6.17e+21,361.833,9.872860000000001,94.655,36.6493,0
6.08e+21,427.5,7.88675,92.9196,54.2049,0
6.04e+21,464.772,10.3547,95.7491,44.8851,0
6.29e+21,477.871,10.8183,96.0422,44.1725,0
6.14e+21,594.763,12.4192,92.137,47.8906,0
6.04e+21,840.7239999999998,12.5635,89.88799999999998,66.918,0
1.82e+22,926.674,11.3669,174.17700000000005,81.5239,0
1.8e+22,923.016,13.0572,164.264,70.6902,0
1.81e+22,854.184,12.4915,163.17600000000004,68.3812,0
1.77e+22,376.946,10.0498,165.722,37.5078,0
1.76e+22,531.325,14.821,168.35299999999995,35.8495,0
1.76e+22,425.037,12.2737,177.794,34.6299,0
1.75e+22,420.626,12.6603,174.21599999999995,33.224000000000004,0
1.75e+22,194.68,13.8754,190.5,14.0306,0
1.75e+22,95.2278,10.4328,189.289,9.12773,0
1.75e+22,187.577,15.4728,191.108,12.123,0
1.75e+22,126.029,12.3669,189.52,10.1908,0
1.77e+22,127.566,12.589,190.347,10.1331,0
1.79e+22,318.431,17.5062,179.528,18.1896,0
1.81e+22,533.701,13.3338,162.465,40.0262,0
1.82e+22,277.909,8.422419999999999,161.171,32.9963,0
1.82e+22,397.17,10.445,164.076,38.0249,0
1.82e+22,238.553,8.22391,164.352,29.0072,0
1.84e+22,386.2,11.9286,158.30200000000005,32.376,0
1.83e+22,338.934,12.1202,152.281,27.9644,0
1.82e+22,304.188,8.529760000000001,154.196,35.662,0
1.83e+22,292.37,8.09527,159.773,36.1161,0
1.83e+22,250.314,9.23102,159.22299999999996,27.1166,0
1.81e+22,258.375,9.517489999999999,160.66299999999995,27.1474,0
1.81e+22,197.561,8.100060000000001,153.032,24.3901,0
1.83e+22,453.251,11.7708,143.015,38.5064,0
1.84e+22,335.704,9.68487,142.903,34.6627,0
1.81e+22,363.499,11.5008,141.515,31.6064,0
1.82e+22,364.286,12.7947,143.27100000000004,28.4716,0
1.8e+22,259.431,12.5406,142.474,20.6873,0
1.79e+22,222.062,7.2545,142.201,30.6103,0
1.76e+22,227.939,8.87931,145.924,25.6708,0
1.77e+22,195.318,6.3322400000000005,150.885,30.845,0
